ticket_id,customer_id,created_at,channel,subject,description,status,priority,agent
1,1044,2025-01-01 09:15:00,"chat","No puedo descargar mi factura","La persona necesita descargar la factura de su última compra pero al hacer clic en el botón de descarga se muestra un mensaje de error desconocido.","open","low","Carlos Lopez"
2,1043,2025-01-01 09:30:00,"phone","Aplicación muy lenta","El sistema tarda más de 30 segundos en cargar el panel principal, afectando el trabajo diario del usuario.","closed","low","Juan Diaz"
3,1042,2025-01-01 09:45:00,"chat","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","in_progress","medium",""
4,1006,2025-01-01 10:00:00,"phone","No puedo descargar mi factura","La persona necesita descargar la factura de su última compra pero al hacer clic en el botón de descarga se muestra un mensaje de error desconocido.","in_progress","urgent","Maria Gomez"
5,1034,2025-01-01 10:15:00,"chat","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","open","urgent",""
6,1029,2025-01-01 10:30:00,"phone","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","open","medium","Maria Gomez"
7,1000,2025-01-01 10:45:00,"chat","Aplicación muy lenta","El sistema tarda más de 30 segundos en cargar el panel principal, afectando el trabajo diario del usuario.","in_progress","medium","Juan Diaz"
8,1013,2025-01-01 11:00:00,"chat","Doble cobro en mi tarjeta","El cliente reporta un cobro adicional en su tarjeta de crédito luego de realizar una sola compra en la plataforma.","closed","low","Maria Gomez"
9,1006,2025-01-01 11:15:00,"chat","Aplicación muy lenta","El sistema tarda más de 30 segundos en cargar el panel principal, afectando el trabajo diario del usuario.","in_progress","high","Juan Diaz"
10,1040,2025-01-01 11:30:00,"phone","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","closed","low","Juan Diaz"
11,1028,2025-01-01 11:45:00,"chat","Error 500 en el panel","Se presenta un error 500 al intentar acceder al módulo de reportes financieros desde el menú principal.","open","low","Maria Gomez"
12,1005,2025-01-01 12:00:00,"phone","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","in_progress","medium","Maria Gomez"
13,1034,2025-01-01 12:15:00,"chat","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","closed","urgent","Ana Perez"
14,1038,2025-01-01 12:30:00,"chat","Error al iniciar sesión","El usuario indica que no puede iniciar sesión desde ayer. Ha intentado restablecer la contraseña pero el enlace no llega a su correo.","closed","urgent",""
15,1006,2025-01-01 12:45:00,"phone","No puedo descargar mi factura","La persona necesita descargar la factura de su última compra pero al hacer clic en el botón de descarga se muestra un mensaje de error desconocido.","open","medium",""
16,1041,2025-01-01 13:00:00,"phone","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","in_progress","medium",""
17,1044,2025-01-01 13:15:00,"phone","No puedo descargar mi factura","La persona necesita descargar la factura de su última compra pero al hacer clic en el botón de descarga se muestra un mensaje de error desconocido.","closed","low","Juan Diaz"
18,1002,2025-01-01 13:30:00,"chat","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","open","urgent",""
19,1044,2025-01-01 13:45:00,"chat","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","closed","low","Juan Diaz"
20,1017,2025-01-01 14:00:00,"chat","No puedo actualizar mis datos","El usuario no puede actualizar su número de teléfono en el perfil, el sistema muestra que el formato es inválido aun cuando es correcto.","open","high",""
21,1012,2025-01-01 14:15:00,"chat","Aplicación muy lenta","El sistema tarda más de 30 segundos en cargar el panel principal, afectando el trabajo diario del usuario.","open","","Juan Diaz"
22,1009,2025-01-01 14:30:00,"chat","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","open","","Juan Diaz"
23,1042,2025-01-01 14:45:00,"phone","No recibo correos de confirmación","El usuario asegura que no recibe correos de confirmación ni de recuperación de contraseña, incluso revisando la carpeta de spam.","open","medium","Maria Gomez"
24,1007,2025-01-01 15:00:00,"chat","No puedo actualizar mis datos","El usuario no puede actualizar su número de teléfono en el perfil, el sistema muestra que el formato es inválido aun cuando es correcto.","in_progress","medium","Maria Gomez"
25,1043,2025-01-01 15:15:00,"chat","Error 500 en el panel","Se presenta un error 500 al intentar acceder al módulo de reportes financieros desde el menú principal.","closed","high",""
26,1045,2025-01-01 15:30:00,"chat","No puedo actualizar mis datos","El usuario no puede actualizar su número de teléfono en el perfil, el sistema muestra que el formato es inválido aun cuando es correcto.","open","","Carlos Lopez"
27,1030,2025-01-01 15:45:00,"phone","Error 500 en el panel","Se presenta un error 500 al intentar acceder al módulo de reportes financieros desde el menú principal.","closed","low",""
28,1018,2025-01-01 16:00:00,"chat","Error al iniciar sesión","El usuario indica que no puede iniciar sesión desde ayer. Ha intentado restablecer la contraseña pero el enlace no llega a su correo.","open","urgent","Maria Gomez"
29,1002,2025-01-01 16:15:00,"chat","Aplicación muy lenta","El sistema tarda más de 30 segundos en cargar el panel principal, afectando el trabajo diario del usuario.","in_progress","urgent","Ana Perez"
30,1040,2025-01-01 16:30:00,"phone","Error 500 en el panel","Se presenta un error 500 al intentar acceder al módulo de reportes financieros desde el menú principal.","open","urgent",""
